names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country,year,imdb
The Magician's Elephant,2023-03-17,73.0,"Animation,Adventure,Family,Fantasy","Peter is searching for his long-lost sister when he crosses paths with a fortune teller in the market square. His one one question is: is his sister still alive? The answer, that he must find a mysterious elephant and the magician who will conjure it, sets Peter off on a journey to complete three seemingly impossible tasks that will change the face of his town forever.","AasifMandvi,BenedictWong,BrianTyreeHenry,GloriaMatienne(voice),KirbyHowell-Baptiste,LeoMatienne(voice),MadamLaVaughn(voice),Magician(voice),MandyPatinkin,MirandaRichardson,Narrator/FortuneTeller(voice),NatasiaDemetriou,NoahJupe,Peter(voice),SianClifford,TheCountess(voice),TheKing(voice),Vilna(voice)",The Magician's Elephant,Released,English,82600000.0,473097256.6,AU,2023,7.3
Plane,2023-01-27,69.0,"Action,Adventure,Thriller","After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.","Bonnie,BrodieTorrance,DaniellaPineda,Dele,EvanDaneTaylor,GerardButler,Hampton,JoeySlotnick,Junmar,LouisGaspare,MikeColter,PaulBen-Victor,RemiAdeleke,Scarsdale,Shellback,Sinclair,TonyGoldwyn,YosonAn",Plane,Released,English,25000000.0,51000000.0,GB,2023,6.9
The Passion of the Christ,2004-02-25,74.0,Drama,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,"Anás,Caifás,ChristoJivkov,FrancescoDeVito,HristoShopov,Jesus,JimCaviezel,Juan,Judas,LucaLionello,Magdalena,MaiaMorgenstern,Maria,MattiaSbragia,MonicaBellucci,Pedro,PoncioPilato,ToniBertorelli",The Passion of the Christ,Released,English,25000000.0,622313635.0,AU,2004,7.4
Batman: The Doom That Came to Gotham,2023-03-28,64.0,"Animation,Fantasy,Horror,Action,Mystery","Explorer Bruce Wayne accidentally unleashes an ancient evil, and returns to Gotham after being away for two decades. There, Batman battles Lovecraftian supernatural forces and encounters allies and enemies such as Green Arrow, Ra's al Ghul, Mr. Freeze, Killer Croc, Two-Face and James Gordon.","Batman/BruceWayne(voice),ChristopherGorham,DarinDePaul,DavidDastmalchian,DavidGiuntoli,EmilyO'Brien,Grendon(voice),HarveyDent/Two-Face(voice),JamesGordon(voice),JohnDiMaggio,KaranBrar,NavidNegahban,OliverQueen/GreenArrow(voice),PatrickFabian,Ra'salGhul(voice),Sanjay'Jay'Tawde(voice),TaliaalGhul/MarthaWayne(voice),ThomasWayne(voice)",Batman: The Doom That Came to Gotham,Released,English,145760000.0,321934831.2,US,2023,6.4
Shazam! Fury of the Gods,2023-03-16,69.0,"Action,Comedy,Fantasy","Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.","AdamBrody,Anthea,AsherAngel,BillyBatson,FreddyFreeman,GraceCarolineCurrey,HelenMirren,Hespera,JackDylanGrazer,Kalypso,LucyLiu,MaryBromfield/SuperHeroMary,MeaganGood,RachelZegler,Shazam,SuperHeroDarla,SuperHeroFreddy,ZacharyLevi",Shazam! Fury of the Gods,Released,English,125000000.0,132107025.0,AU,2023,6.9
Consecration,2023-02-10,65.0,"Horror,Thriller","After the alleged suicide of her priest brother, Grace travels to the remote Scottish convent where he fell to his death. Distrusting the Church's account, she uncovers murder, sacrilege and a disturbing truth about herself.",",AlexandraLewis,DCIHarris,DannyHuston,FatherRomero,Grace,IanPirie,JanetSuzman,JenaMalone,KitRakusen,Michael,MotherSuperior,SisterBeth,SteffanCennydd,ThorenFerguson,Vincent,WillKeen,YoungMichael",Consecration,Released,English,54060000.0,492646395.4,US,2023,6.5
Shark Side of the Moon,2022-08-12,53.0,"Action,Science Fiction,Thriller,Horror","Decades ago, the USSR developed unkillable sharks and launched them to the moon. Today, a team of American astronauts will endure the fight of their lives.","Akula,CommanderNicoleTress,EgoMikitas,ElliWaters,Henri,Josie,KonstantinPodprugin,Liam,LindseyMarieWilson,LydiaHunter,MaxiWitrak,MichaelKelly,MichaelMarcel,ReginaldStallingIII,Sergei,TaniaFox,TerranceLivingstonJr.,Tom",Shark Side of the Moon,Released,English,10000.0,17887093.8,US,2022,5.3
Black Adam,2022-10-20,71.0,"Action,Adventure,Science Fiction,Fantasy","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","AdriannaTomaz,AldisHodge,AmonTomaz,AtomSmasher/AlRothstein,BlackAdam/TethAdam,BodhiSabongui,Cyclone/MaxineHunkel,Dr.Fate/KentNelson,DwayneJohnson,Hawkman/CarterHall,Ishmael/Sabbac/KingAhk-Ton,Karim,MarwanKenzari,MoAmer,NoahCentineo,PierceBrosnan,QuintessaSwindell,SarahShahi",Black Adam,Released,English,200000000.0,391261706.0,AU,2022,7.1
Money Shot: The Pornhub Story,2023-03-15,58.0,Documentary,"Featuring interviews with performers, activists and past employees, this documentary offers a deep dive into the successes and scandals of Pornhub.","AsaAkira,BreeMills,CherieDeVille,FSC,MartinPatriquin,MikeStabile,NatassiaDreams,NoellePerdue,Self-Journalist,Self-PornDirector,Self-PornIndustryAdvocate/DirectorofPublicAffairs,Self-PornIndustryProfessional,Self-PornPerformer,Self-PornhubAmbassador,Siri,TheLogic,WolfHudson",Money Shot: The Pornhub Story,Released,English,68500000.0,280052393.0,US,2023,5.8
M3GAN,2023-01-12,74.0,"Science Fiction,Horror,Comedy","A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.","AllisonWilliams,AmieDonald,AmyUsherwood,BrianJordanAlvarez,Cady,Cole,DavidLin,Gemma,JenVanEpps,JennaDavis,Kurt,Lydia,M3GAN,M3GAN(voice),RonnyChieng,StephaneGarneau-Monten,Tess,VioletMcGraw",M3GAN,Released,English,12000000.0,167643991.0,AU,2023,7.4
